"","age","gender","employment","marital_status","treatment","correction"
"574",44,"Male",1,0,"control",0
"575",48,"Male",1,0,"responsibility",0
"576",19,"Male",0,0,"control",1
"577",34,"Male",0,0,"responsibility",0
"578",53,"Male",1,1,"acceptability",0
"579",24,"Male",0,0,"acceptability",1
"580",53,"Male",1,0,"acceptability",0
"581",74,"Male",0,1,"acceptability",1
"582",52,"Male",1,1,"responsibility",0
"583",52,"Male",1,1,"responsibility",0
"584",58,"Male",1,0,"control",0
"585",56,"Male",0,1,"acceptability",1
"586",68,"Male",0,0,"responsibility",1
"587",68,"Male",0,0,"responsibility",1
"588",52,"Male",0,0,"responsibility",0
"589",74,"Male",1,0,"control",0
"590",47,"Male",0,0,"acceptability",0
"591",41,"Male",1,1,"acceptability",0
"592",57,"Male",1,0,"acceptability",1
"593",55,"Male",1,0,"responsibility",0
"594",23,"Male",1,0,"acceptability",1
"595",62,"Male",1,0,"responsibility",0
"596",63,"Male",0,1,"control",1
"597",61,"Male",0,0,"responsibility",0
"598",50,"Male",0,0,"responsibility",1
"599",77,"Male",0,1,"responsibility",0
"600",33,"Male",1,0,"acceptability",0
"601",77,"Male",0,1,"control",1
"602",53,"Male",1,0,"responsibility",0
"603",34,"Male",1,1,"control",0
"604",71,"Male",0,1,"responsibility",1
"605",37,"Male",1,0,"responsibility",1
"606",39,"Male",0,0,"control",1
"607",53,"Male",1,1,"acceptability",0
"608",53,"Male",1,1,"control",0
"609",47,"Male",1,0,"acceptability",1
"610",30,"Male",0,0,"acceptability",1
"611",31,"Male",1,1,"responsibility",0
"612",61,"Male",0,0,"control",0
"613",57,"Male",0,0,"acceptability",1
"614",28,"Male",1,1,"responsibility",0
"615",34,"Male",1,0,"control",1
"616",57,"Male",1,1,"acceptability",1
"617",39,"Male",1,1,"acceptability",0
"618",34,"Male",1,0,"acceptability",1
"619",42,"Male",0,0,"control",1
"620",67,"Male",0,1,"control",0
"621",23,"Male",1,0,"acceptability",0
"622",64,"Male",1,1,"control",0
"623",37,"Male",1,0,"acceptability",1
"624",44,"Male",1,0,"control",1
"625",40,"Male",1,0,"control",1
"626",47,"Male",0,0,"responsibility",1
"627",59,"Male",1,1,"acceptability",1
"628",64,"Male",1,0,"control",1
"629",80,"Male",0,0,"responsibility",0
"630",61,"Male",1,1,"control",1
"631",37,"Male",0,0,"acceptability",1
"632",45,"Male",1,1,"responsibility",0
"633",41,"Male",1,1,"acceptability",1
"634",47,"Male",1,0,"acceptability",0
"635",63,"Male",1,0,"acceptability",1
"636",42,"Male",0,0,"responsibility",1
"637",55,"Male",1,1,"acceptability",0
"638",42,"Male",1,0,"acceptability",1
"639",54,"Male",0,1,"responsibility",0
"640",65,"Male",0,1,"responsibility",0
"641",40,"Male",1,1,"control",0
"642",51,"Male",1,0,"responsibility",0
"643",57,"Male",1,1,"responsibility",1
"644",57,"Male",1,1,"responsibility",0
"645",67,"Male",0,0,"responsibility",0
"646",82,"Male",0,1,"responsibility",0
"647",48,"Male",1,1,"responsibility",0
"648",55,"Male",1,0,"control",0
"649",50,"Male",1,0,"acceptability",1
"650",63,"Male",1,1,"responsibility",0
"651",63,"Male",0,0,"acceptability",1
"652",74,"Male",0,1,"control",0
"653",40,"Male",0,1,"responsibility",1
"654",42,"Male",1,1,"acceptability",0
"655",44,"Male",1,0,"control",1
"656",65,"Male",0,1,"acceptability",1
"657",78,"Male",1,0,"control",0
"658",45,"Male",1,1,"acceptability",0
"659",72,"Male",0,1,"responsibility",0
"660",61,"Male",1,1,"responsibility",1
"661",75,"Male",0,0,"control",1
"662",65,"Male",0,1,"control",1
"663",40,"Male",1,1,"responsibility",1
"664",63,"Male",1,1,"acceptability",0
"665",63,"Male",1,1,"responsibility",1
"666",81,"Male",0,1,"control",0
"667",60,"Male",1,0,"acceptability",0
"668",20,"Male",1,0,"control",1
"669",44,"Male",1,0,"acceptability",0
"670",47,"Male",0,0,"acceptability",1
"671",35,"Male",1,0,"acceptability",0
"672",65,"Male",1,0,"control",0
"673",49,"Male",1,1,"responsibility",0
"674",28,"Male",0,0,"acceptability",0
"675",41,"Male",1,1,"responsibility",1
"676",74,"Male",1,1,"control",1
"677",62,"Male",0,0,"acceptability",0
"678",48,"Male",1,1,"control",0
"679",64,"Male",0,0,"acceptability",0
"680",66,"Male",1,0,"acceptability",0
"681",56,"Male",1,0,"responsibility",0
"682",64,"Male",0,1,"control",1
